Ticker,Close,San,Date Time
A32,29.1,UPCOM,20231103
AAA,8.7,HOSE,20231103
AAM,9.26,HOSE,20231103
AAS,8.6,UPCOM,20231103
AAT,4.75,HOSE,20231103
AAV,4.2,HNX,20231103
ABB,7.7,UPCOM,20231103
ABC,13.5,UPCOM,20231103
ABI,27.5,UPCOM,20231103
ABS,5.24,HOSE,20231103
ABW,8.7,UPCOM,20231103
ACB,22.05,HOSE,20231103
ACC,10.95,HOSE,20231103
ACE,36.0,UPCOM,20231103
ACG,38.15,HOSE,20231103
ACL,12.7,HOSE,20231103
ACM,0.6,UPCOM,20231103
ACV,70.0,UPCOM,20231103
ADS,13.2,HOSE,20231103
AFX,9.3,UPCOM,20231103
AG1,7.4,UPCOM,20231103
AGF,2.9,UPCOM,20231103
AGG,25.6,HOSE,20231103
AGP,24.5,UPCOM,20231103
AGR,13.45,HOSE,20231103
AIC,11.7,UPCOM,20231103
ALT,13.3,HNX,20231103
ALV,4.0,UPCOM,20231103
AME,8.8,HNX,20231103
AMS,10.2,UPCOM,20231103
AMV,3.6,HNX,20231103
ANT,10.8,UPCOM,20231103
ANV,27.4,HOSE,20231103
APC,10.2,HOSE,20231103
APF,55.3,UPCOM,20231103
APG,9.49,HOSE,20231103
APH,7.24,HOSE,20231103
API,6.0,HNX,20231103
APP,4.8,UPCOM,20231103
APS,6.6,HNX,20231103
ARM,26.1,HNX,20231103
ASG,23.0,HOSE,20231103
ASM,8.66,HOSE,20231103
ASP,5.4,HOSE,20231103
AST,55.9,HOSE,20231103
ATA,1.0,UPCOM,20231103
ATB,0.5,UPCOM,20231103
ATG,2.7,UPCOM,20231103
AVF,0.6,UPCOM,20231103
B82,0.6,UPCOM,20231103
BAB,12.8,HNX,20231103
BAF,23.7,HOSE,20231103
BBC,52.0,HOSE,20231103
BCA,5.2,UPCOM,20231103
BCC,9.1,HNX,20231103
BCE,5.75,HOSE,20231103
BCF,28.5,HNX,20231103
BCG,7.89,HOSE,20231103
BCM,58.5,HOSE,20231103
BDG,26.1,UPCOM,20231103
BDT,14.5,UPCOM,20231103
BDW,20.0,UPCOM,20231103
BFC,19.75,HOSE,20231103
BHN,39.3,HOSE,20231103
BHP,8.5,UPCOM,20231103
BIC,24.7,HOSE,20231103
BID,41.5,HOSE,20231103
BIG,8.6,UPCOM,20231103
BII,0.8,UPCOM,20231103
BKC,7.2,HNX,20231103
BKG,4.32,HOSE,20231103
BLI,11.8,UPCOM,20231103
BLT,34.8,UPCOM,20231103
BMC,13.8,HOSE,20231103
BMF,10.0,UPCOM,20231103
BMI,21.4,HOSE,20231103
BMN,8.6,UPCOM,20231103
BMP,88.0,HOSE,20231103
BMS,9.5,UPCOM,20231103
